Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C2",0603,4,10n,
"C10, C15, C16, C3, C5, C6, C7, C8, C9",0603,9,100n,
"C13, C18",0805,2,20u 10V,
"C17, C4",0603,2,10u 10V,C2959727
"D1, D3, D4",D_SOD-523,3,LESD5D5.0CT1G,C383211
D2,D_SOD-323,1,1N5819WS,C2939001
D5,0603,1,LED Rot,C965799
D6,0603,1,LED Blau,C965807
"J1, J2",TerminalBlock_Phoenix_MKDS-1-2-3.81_1x02_P3.81mm_Horizontal,2,Conn_01x02_Socket,
J4,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C2988369
J8,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02_Pin,
L1,Inductor_1210,1,2u2 1A,C39846664
Q1,SOT-23-6,1,Dual_NMOS_8205A,C5370944
Q2,SOT-23-3,1,DMG2305UX,C150470
"R1, R2, R3, R6",0603,4,5k1,C431786
"R10, R15",0603,2,91R .1%,C862316
"R11, R13, R14, R9",0603,4,10K .1%,C95204
"R12, R17, R25, R29",0603,4,1M .1%,C2989464
R16,0603,1,3K9,C23018
"R20, R21",0603,2,100K,C25803
"R22, R23, R30, R31, R32, R4, R5",0603,7,10k,C25804
"R24, R26, R27, R28",0603,4,3K3 .1%,C309653
R33,0603,1,470K,C23178
R34,0603,1,82K,C23254
R35,0805,1,PT100,
R7,0603,1,100R,C22775
R8,0603,1,1K,C21190
"SW1, SW2",Xunpu TS-1088,2,SW_MEC_5G,C720477
U1,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,C2934560
U2,WDFN-10-1EP_3x3mm_P0.5mm_EP1.8x2.5mm,1,RT6150A,C147971
U3,SOT-23-6,1,DW01A,C2927799
U4,VSSOP-10_3x3mm_P0.5mm,1,TLV9002S,C2058239
U5,SSD1306_0.96_Oled,1,OLED_SSD1306,
U6,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056,C725790
U8,PQFN50P200X200X80-10N,1,BMP388,C779278
