Designator,Mid X,Mid Y,Rotation,Layer
C1,27.6,44.5,0.0,top
C10,16.34,27.792,180.0,top
C11,10.34,21.877,270.0,top
C12,22.34,21.877,270.0,top
C13,12.5,11.525,90.0,top
C15,30.6,43.292,0.0,top
C16,31.04,37.792,270.0,top
C17,30.54,8.292,270.0,top
C18,5.206733,11.279406,90.0,top
C2,27.6,43.0,0.0,top
C3,3.5,11.279406,90.0,top
C4,4.04,45.434,270.0,top
C5,5.672,45.434,270.0,top
C6,23.14,8.092,270.0,top
C7,12.04,36.092,270.0,bottom
C8,7.0,6.5,270.0,top
C9,17.7,17.0,270.0,top
D1,15.07,13.97,180.0,top
D2,21.14,10.792,270.0,top
D3,18.118,13.97,0.0,top
D4,19.388,10.668,90.0,top
D5,16.5,21.292,180.0,top
D6,5.64,33.5435,90.0,top
J1,3.5825,25.905,270.0,top
J2,28.9175,25.905,90.0,top
J4,16.5,3.7,0.0,top
J8,29.45,17.2,90.0,top
L1,9.65,8.25,180.0,top
Q1,24.7025,16.842,0.0,top
Q2,29.84,11.992,180.0,top
R1,17.61,10.922,90.0,top
R10,10.34,27.902,90.0,top
R11,9.34,25.602,0.0,top
R12,20.84,23.602,270.0,top
R13,23.115,25.702,180.0,top
R14,23.115,24.102,180.0,top
R15,22.34,28.102,90.0,top
R16,26.965,1.592,0.0,top
R17,11.84,26.602,90.0,top
R2,15.324,10.922,90.0,top
R20,21.64,19.292,0.0,top
R21,24.715,19.292,0.0,top
R22,28.14,35.792,0.0,top
R23,28.14,37.292,0.0,top
R24,23.84,21.877,90.0,top
R25,20.84,26.602,90.0,top
R26,23.84,28.102,270.0,top
R27,8.84,21.877,90.0,top
R28,8.84,27.902,270.0,top
R29,11.84,23.602,270.0,top
R3,13.2,21.292,0.0,top
R30,9.448499,31.899099,0.0,top
R31,9.448499,30.399099,180.0,top
R32,26.5,13.0,90.0,top
R33,7.0,10.525,90.0,top
R34,7.0,13.525,90.0,top
R35,6.0,26.0,90.0,bottom
R4,5.04,42.81653,180.0,top
R5,4.14,36.617,270.0,top
R6,5.64,36.617,90.0,top
R7,18.6025,19.342,180.0,top
R8,21.7025,14.342,0.0,top
R9,9.34,24.102,0.0,top
SW1,16.34,36.092,0.0,bottom
SW2,4.14,5.0,90.0,top
U1,16.34,40.184,0.0,top
U2,9.5,11.5,90.0,top
U3,20.54,16.842,0.0,top
U4,16.34,25.292,0.0,top
U5,16.3,30.292,0.0,bottom
U6,26.94,6.292,0.0,top
U8,30.04,40.792,0.0,top
